"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Towns","GA",11553,11866,12037,12545,12867,12972,13111,13111
"Traill","ND",7998,8020,8036,7988,7990,7958,8006,8006
"Transylvania","NC",33767,34173,34385,33046,33255,33355,33781,33781
"Traverse","MN",3304,3291,3259,3361,3287,3275,3287,3287
"Travis","TX",1227585,1246572,1273954,1296515,1308544,1326436,1347362,1347362
"Treasure","MT",673,673,696,758,769,758,765,765
"Trego","KS",2843,2797,2803,2805,2792,2752,2756,2756
"Trempealeau","WI",29372,29494,29649,30806,30730,30899,30996,30996
"Treutlen","GA",6746,6813,6901,6396,6382,6365,6433,6433
"Trigg","KY",14418,14658,14651,14080,14202,14332,14376,14376
"Trimble","KY",8521,8468,8471,8461,8553,8539,8566,8566
"Trinity","CA",12726,12567,12285,16089,16061,15781,15756,15756
"Trinity","TX",14677,14688,14651,13632,13809,13996,14217,14217
"Tripp","SD",5443,5491,5441,5603,5566,5565,5624,5624
"Troup","GA",70062,70078,69922,69323,69479,70191,70940,70940
"Trousdale","TN",10831,11033,11284,11638,11619,12111,12241,12241
"Trumbull","OH",200281,198539,197974,201672,201444,200643,201153,201153
"Tucker","WV",6992,6937,6839,6753,6675,6568,6550,6550
"Tulare","CA",462308,464589,466195,473891,476946,477544,476760,476760
"Tulsa","OK",646437,647683,651552,670653,673961,677358,683092,683092
"Tunica","MS",9984,9922,9632,9723,9652,9458,9457,9457
"Tuolumne","CA",53976,54387,54478,55374,55065,54531,54442,54442
"Turner","GA",7895,7908,7985,8983,8931,8842,8937,8937
"Turner","SD",8303,8422,8384,8672,8682,8856,8949,8949
"Tuscaloosa","AL",207618,208319,209355,231534,235668,236780,238375,238375
"Tuscarawas","OH",92308,92079,91987,93183,92608,91937,92171,92171
"Tuscola","MI",52815,52633,52245,53310,53046,52945,52962,52962
"Twiggs","GA",8253,8174,8120,8011,7899,7680,7762,7762
"Twin Falls","ID",85374,86029,86878,90361,92357,93696,94938,94938
"Tyler","TX",21517,21609,21672,19811,19892,20030,20346,20346
"Tyler","WV",8800,8740,8591,8296,8243,8183,8160,8160
"Tyrrell","NC",4180,4115,4016,3239,3377,3365,3408,3408
"Uinta","WY",20431,20292,20226,20457,20655,20712,20808,20808
"Uintah","UT",35228,35405,35734,35671,36232,37141,37547,37547
"Ulster","NY",178635,178418,177573,181627,183704,182319,181338,181338
"Umatilla","OR",77120,77421,77950,80098,80154,80215,80087,80087
"Unicoi","TN",17796,17822,17883,17883,17667,17674,17863,17863
"Union","AR",39460,39139,38682,38926,38364,37752,38026,38026
"Union","FL",15448,15328,15237,15417,15825,15460,15715,15715
"Union","GA",23376,23905,24511,24798,25560,26388,26670,26670
"Union","IA",12459,12298,12241,12132,12036,11887,11912,11912
"Union","IL",16968,16832,16653,17182,16937,16767,16724,16724
"Union","IN",7159,7029,7054,7081,7014,6952,6982,6982
"Union","KY",14620,14471,14381,13665,13166,12961,13001,13001
"Union","MS",28486,28615,28815,27810,28001,28125,28122,28122
"Union","NC",231350,235830,239859,239443,244260,249070,252249,252249
"Union","NJ",554738,556402,556341,573617,572810,569815,571608,571608
"Union","NM",4180,4108,4059,4072,4097,3980,3982,3982
"Union","OH",56798,57782,58988,63089,65110,66898,67069,67069
"Union","OR",26383,26701,26835,26167,26276,26177,26136,26136
"Union","PA",44642,45017,44923,42639,42419,42744,42710,42710
"Union","SC",27400,27324,27316,27176,26994,26752,27213,27213
"Union","SD",15277,15570,15932,16853,16868,17063,17242,17242
"Union","TN",19399,19689,19972,19841,19996,20452,20670,20670
"Union Parish","LA",22398,22243,22108,21090,20996,20721,20647,20647
"Upshur","TX",41069,41179,41753,41038,41811,42488,43159,43159
"Upshur","WV",24555,24372,24176,23813,23820,23712,23645,23645
"Upson","GA",26201,26185,26320,27740,27673,28086,28386,28386
"Upton","TX",3658,3637,3657,3301,3241,3152,3202,3202
"Utah","UT",606742,621520,636235,663559,685806,702434,710108,710108
"Uvalde","TX",27043,26787,26741,24559,24810,24940,25334,25334
"Val Verde","TX",49028,48988,49025,47605,47589,47606,48358,48358
"Valdez-Cordova Census Area","AK",9220,9161,9202,NA,NA,NA,NA,NA
"Valencia","NM",75884,76305,76688,76369,77233,78080,78118,78118
"Valley","ID",10667,11021,11392,11842,12264,12464,12630,12630
"Valley","MT",7402,7406,7396,7556,7556,7513,7580,7580
"Valley","NE",4227,4197,4158,4055,4074,4073,4095,4095
"Van Buren","AR",16552,16635,16545,15801,15751,16102,16219,16219
"Van Buren","IA",7155,7013,7044,7217,7261,7256,7271,7271
"Van Buren","MI",75303,75481,75677,75576,75703,75692,75716,75716
"Van Buren","TN",5747,5763,5872,6174,6277,6429,6498,6498
"Van Wert","OH",28283,28253,28275,28919,28776,28769,28843,28843
"Van Zandt","TX",55163,55966,56590,59749,61200,62859,63851,63851
"Vance","NC",44281,44635,44535,42535,42103,42138,42676,42676
"Vanderburgh","IN",180954,181120,181451,180331,180267,179744,180512,180512
"Venango","PA",51790,51201,50668,50354,50038,49777,49738,49738
"Ventura","CA",849044,848142,846006,843310,839358,832605,831237,831237
"Vermilion","IL",77689,76702,75758,74001,73263,72337,72152,72152
"Vermilion Parish","LA",59936,59886,59511,56918,56854,56952,56748,56748
"Vermillion","IN",15503,15510,15498,15409,15440,15451,15517,15517
"Vernon","MO",20507,20492,20563,19669,19605,19651,19709,19709
"Vernon","WI",30702,30772,30822,30698,30921,31060,31158,31158
"Vernon Parish","LA",49789,48101,47429,48625,48056,47247,47078,47078
"Victoria","TX",92045,91878,92084,91303,90897,91065,92502,92502
"Vigo","IN",107569,107367,107038,106119,106084,106006,106459,106459
"Vilas","WI",21684,21928,22195,23097,23522,23763,23838,23838
"Vinton","OH",13082,13145,13085,12804,12707,12565,12597,12597
"Virginia Beach city","VA",449896,449849,449974,459646,458680,455618,457302,457302
"Volusia","FL",537868,546101,553284,555764,565988,579192,588720,588720
"Wabash","IL",11523,11523,11520,11315,11210,11087,11059,11059
"Wabash","IN",31380,31198,30996,30936,30897,30828,30960,30960
"Wabasha","MN",21590,21645,21627,21400,21514,21658,21737,21737
"Wabaunsee","KS",6832,6912,6931,6885,6969,7019,7028,7028
"Wadena","MN",13647,13723,13682,14119,14184,14307,14359,14359
"Wagoner","OK",78984,80123,81289,81379,84198,86644,87378,87378
"Wahkiakum","WA",4251,4415,4488,4443,4579,4688,4705,4705
"Wake","NC",1071706,1091273,1111761,1130685,1152357,1175021,1190015,1190015
"Wakulla","FL",32050,32413,33739,33895,34274,35178,35757,35757
"Waldo","ME",39772,39657,39715,39654,39984,40241,40543,40543
"Walker","AL",63895,63669,63521,65132,64629,64339,64773,64773
"Walker","GA",68999,69443,69761,67742,68405,68915,69650,69650
"Walker","TX",72816,73136,72971,76544,78322,78870,80115,80115
"Walla Walla","WA",60512,60615,60760,62619,62158,61890,62106,62106
"Wallace","KS",1515,1489,1518,1517,1514,1488,1490,1490
"Waller","TX",51717,53512,55246,57304,59474,61894,62871,62871
"Wallowa","OR",7025,7058,7208,7401,7554,7659,7647,7647
"Walsh","ND",10801,10645,10641,10524,10479,10438,10501,10501
"Walthall","MS",14505,14436,14286,13868,13804,13761,13760,13760
"Walton","FL",68021,70732,74071,75937,79988,83304,84675,84675
"Walton","GA",91296,93202,94593,97153,99808,103065,104164,104164
"Walworth","SD",5497,5477,5435,5286,5246,5265,5320,5320
"Walworth","WI",102850,103550,103868,105308,105200,105380,105710,105710
"Wapello","IA",35022,34991,34969,35330,35283,35043,35115,35115
"Ward","ND",68516,67713,67641,69923,69437,68870,69283,69283
"Ward","TX",11383,11709,11998,11680,11111,10964,11137,11137
"Ware","GA",35668,35587,35734,36225,35547,35614,35994,35994
"Warren","GA",5265,5247,5254,5208,5214,5155,5210,5210
"Warren","IA",50078,51014,51466,52588,53487,54327,54438,54438
"Warren","IL",17144,16992,16844,16828,16595,16354,16312,16312
"Warren","IN",8204,8280,8265,8424,8459,8461,8498,8498
"Warren","KY",129074,130750,132896,135013,137148,139843,140273,140273
"Warren","MO",34448,34766,35649,35740,36529,37260,37370,37370
"Warren","MS",46682,46093,45381,44544,43450,42649,42644,42644
"Warren","NC",19849,19819,19731,18598,18791,18713,18952,18952
"Warren","NJ",105715,105528,105267,109513,110494,110926,111276,111276
"Warren","NY",64365,64215,63944,65618,65773,65599,65246,65246
"Warren","OH",228709,231945,234602,243201,246822,249778,250413,250413
"Warren","PA",39679,39551,39191,38516,38115,37808,37778,37778
"Warren","TN",40717,40826,41277,41054,41529,42026,42474,42474
"Warren","VA",39409,40006,40164,40786,40957,41440,41594,41594
"Warrick","IN",62401,62474,62998,63996,64623,65185,65464,65464
"Wasatch","UT",31890,33067,34091,35063,36260,36619,37020,37020
"Wasco","OR",26296,26432,26682,26631,26735,26561,26519,26519
"Waseca","MN",18713,18664,18612,18964,18992,18893,18962,18962
"Washakie","WY",8010,7877,7805,7658,7712,7719,7755,7755
"Washburn","WI",15739,15837,15720,16613,16760,16911,16964,16964
"Washington","AL",16522,16402,16326,15327,15234,15122,15224,15224
"Washington","AR",232732,236611,239187,246756,251692,256054,257912,257912
"Washington","CO",4921,4888,4908,4808,4850,4812,4844,4844
"Washington","FL",24546,24793,25473,25313,24877,25414,25833,25833
"Washington","GA",20311,20410,20374,19948,19766,19738,19949,19949
"Washington","IA",22204,22058,21965,22540,22494,22571,22617,22617
"Washington","ID",10051,10115,10194,10559,10887,11087,11234,11234
"Washington","IL",13963,13999,13887,13731,13651,13643,13608,13608
"Washington","IN",27771,27932,28036,28242,28151,28224,28345,28345
"Washington","KS",5479,5450,5406,5532,5526,5501,5508,5508
"Washington","KY",11880,12023,12095,12042,12091,12061,12099,12099
"Washington","MD",150169,150656,151049,154677,155197,155590,155984,155984
"Washington","ME",31374,31321,31379,31087,31166,31437,31673,31673
"Washington","MN",255464,258899,262440,268372,272610,275912,276913,276913
"Washington","MO",24994,24933,24730,23416,23444,23441,23511,23511
"Washington","MS",46197,45036,43909,44631,43641,42514,42509,42509
"Washington","NC",11944,11769,11580,10976,10909,10828,10967,10967
"Washington","NE",20328,20617,20729,20928,20993,21167,21280,21280
"Washington","NY",61559,61274,61204,61202,60975,60841,60514,60514
"Washington","OH",60491,60111,59911,59644,59459,58901,59051,59051
"Washington","OK",51996,51791,51527,52604,52857,53242,53693,53693
"Washington","OR",591336,596904,601592,601101,602494,600176,599217,599217
"Washington","PA",207075,207018,206865,209382,210012,210383,210216,210216
"Washington","RI",126314,126097,125577,129757,130880,130330,130596,130596
"Washington","TN",127603,128661,129375,133213,133525,136172,137624,137624
"Washington","TX",34861,35496,35882,35805,35898,36159,36730,36730
"Washington","UT",165929,171567,177556,182009,191476,197680,199840,199840
"Washington","VA",54179,54067,53740,53889,53793,53958,54158,54158
"Washington","VT",58253,58079,58409,59756,60023,60048,60086,60086
"Washington","WI",134930,135445,136034,136784,137237,137688,138119,138119
"Washington Parish","LA",46649,46588,46194,45344,45176,45025,44864,44864
"Washita","OK",11055,11036,10916,10903,10881,10732,10823,10823
"Washoe","NV",456629,464354,471519,487674,494281,496745,499310,499310
"Washtenaw","MI",368807,369483,367601,371817,364998,366376,366491,366491
"Watauga","NC",55181,56034,56177,54117,54962,55089,55792,55792
"Watonwan","MN",10934,11007,10897,11231,11158,11075,11116,11116
"Waukesha","WI",400899,402522,404198,407467,409080,410434,411717,411717
"Waupaca","WI",51118,51130,50990,51791,51992,51488,51649,51649
"Waushara","WI",24193,24267,24443,24549,24797,24999,25078,25078
"Wayne","GA",29797,29810,29927,30145,30246,30896,31226,31226
"Wayne","IA",6492,6405,6441,6504,6511,6467,6481,6481
"Wayne","IL",16412,16326,16215,16125,15967,15872,15832,15832
"Wayne","IN",66179,66046,65884,66513,66490,66273,66556,66556
"Wayne","KY",20628,20430,20333,19542,19569,19681,19742,19742
"Wayne","MI",1757217,1754453,1749343,1789129,1773073,1757043,1757595,1757595
"Wayne","MO",13303,13132,12873,10933,10907,10792,10824,10824
"Wayne","MS",20430,20296,20183,19803,19712,19681,19679,19679
"Wayne","NC",123034,123237,123131,117266,116866,117286,118783,118783
"Wayne","NE",9213,9318,9385,9694,9843,9871,9924,9924
"Wayne","NY",90429,90200,89918,91193,91201,91125,90635,90635
"Wayne","OH",116168,115790,115710,116906,116129,116559,116856,116856
"Wayne","PA",51192,51395,51361,51151,51195,51173,51133,51133
"Wayne","TN",16641,16635,16673,16222,16336,16308,16482,16482
"Wayne","UT",2702,2671,2711,2508,2567,2645,2674,2674
"Wayne","WV",40215,39961,39402,38864,38533,37998,37890,37890
"Waynesboro city","VA",22242,22531,22630,22276,22596,22808,22893,22893
"Weakley","TN",33325,33413,33328,32899,32870,33063,33416,33416
"Webb","TX",273691,275120,276652,267345,267633,267780,272005,272005
"Weber","UT",251576,255697,260213,262973,266588,269561,272506,272506
"Webster","GA",2589,2606,2607,2352,2356,2328,2353,2353
"Webster","IA",36637,36339,35904,36985,37178,36626,36701,36701
"Webster","KY",13012,13051,12942,13017,12857,12726,12766,12766
"Webster","MO",38745,39179,39592,39002,39580,40335,40454,40454
"Webster","MS",9732,9788,9689,9901,9981,9993,9992,9992
"Webster","NE",3505,3534,3487,3390,3393,3336,3354,3354
"Webster","WV",8348,8274,8114,8356,8286,8167,8144,8144
"Webster Parish","LA",39264,38792,38340,36875,36024,35643,35515,35515
"Weld","CO",305885,314815,324492,331427,339811,350176,352436,352436
"Wells","IN",27958,28083,28296,28167,28177,28335,28456,28456
"Wells","ND",3994,3908,3834,3971,3905,3930,3954,3954
"West Baton Rouge Parish","LA",26184,26400,26465,27258,27805,28034,27934,27934
"West Carroll Parish","LA",10974,10977,10830,9693,9596,9475,9441,9441
"West Feliciana Parish","LA",15371,15492,15568,15250,15481,15381,15326,15326
"Westchester","NY",969689,968213,967506,1001431,999607,990427,985095,985095
"Western Connecticut Planning Region","CT",NA,NA,NA,619146,624019,623690,622138,622138
"Westmoreland","PA",352006,350459,348899,354316,353765,352057,351777,351777
"Westmoreland","VA",17725,17817,18015,18508,18732,18712,18782,18782
"Weston","WY",6968,6924,6927,6818,6766,6860,6892,6892
"Wetzel","WV",15433,15259,15065,14392,14195,14025,13985,13985
"Wexford","MI",33234,33446,33631,33685,33940,34196,34207,34207
"Wharton","TX",41837,41499,41556,41564,41697,41824,42484,42484
"Whatcom","WA",221410,225197,229247,227430,226718,230677,231480,231480
"Wheatland","MT",2161,2184,2126,2083,2045,2032,2050,2050
"Wheeler","GA",7960,7898,7855,7447,7748,7314,7392,7392
"Wheeler","NE",815,802,783,775,787,785,790,790
"Wheeler","OR",1348,1351,1332,1460,1453,1445,1443,1443
"Wheeler","TX",5300,5158,5056,4976,4905,4807,4883,4883
"White","AR",78844,78381,78753,76851,77157,77755,78320,78320
"White","GA",29445,29988,30798,28108,28393,28806,29114,29114
"White","IL",13903,13618,13537,13807,13768,13614,13580,13580
"White","IN",24163,24133,24102,24668,24662,24598,24703,24703
"White","TN",26764,27086,27345,27443,27557,28064,28364,28364
"White Pine","NV",9651,9540,9580,9051,8846,8788,8834,8834
"Whiteside","IL",55955,55553,55175,55553,55342,54658,54518,54518
"Whitfield","GA",104234,104249,104628,102776,102688,103132,104232,104232
"Whitley","IN",33722,34047,33964,34338,34492,34627,34775,34775
"Whitley","KY",36074,36101,36264,36695,36699,36873,36987,36987
"Whitman","WA",49382,49683,50104,47804,43238,47619,47785,47785
"Wibaux","MT",1018,1030,969,937,935,919,928,928
"Wichita","KS",2121,2112,2119,2149,2081,2064,2067,2067
"Wichita","TX",131689,131807,132230,129617,130006,129978,132029,132029
"Wicomico","MD",102252,103044,103609,103556,104181,104664,104929,104929
"Wilbarger","TX",12683,12777,12769,12844,12688,12491,12689,12689
"Wilcox","AL",10691,10599,10373,10432,10331,10059,10127,10127
"Wilcox","GA",8791,8827,8635,8792,8746,8761,8855,8855
"Wilkes","GA",9860,9864,9777,9556,9516,9599,9702,9702
"Wilkes","NC",68489,68563,68412,65904,65818,65784,66624,66624
"Wilkin","MN",6322,6244,6207,6482,6410,6350,6374,6374
"Wilkinson","GA",8954,9043,8954,8824,8791,8681,8774,8774
"Wilkinson","MS",8855,8781,8630,8524,8288,8143,8142,8142
"Will","IL",690479,691149,690743,695844,697985,696757,694966,694966
"Willacy","TX",21508,21450,21358,20150,20290,20143,20461,20461
"Williams","ND",33467,35469,37589,41184,38487,38109,38338,38338
"Williams","OH",36707,36739,36692,37077,36743,36652,36746,36746
"Williamsburg","SC",31216,30606,30368,30908,30384,30058,30576,30576
"Williamsburg city","VA",14994,15002,14954,15468,15675,15909,15968,15968
"Williamson","IL",67049,66982,66597,67113,66943,66695,66524,66524
"Williamson","TN",226048,231978,238412,249538,256209,260815,263595,263595
"Williamson","TX",546251,566463,590551,615517,644451,671418,682010,682010
"Wilson","KS",8707,8666,8525,8576,8537,8622,8632,8632
"Wilson","NC",81436,81392,81801,78807,78283,78449,79451,79451
"Wilson","TN",136691,140954,144657,148645,152010,158555,160245,160245
"Wilson","TX",49211,50196,51070,50051,51281,52735,53567,53567
"Winchester city","VA",28178,27962,28078,28009,28115,27936,28040,28040
"Windham","CT",116398,117059,116782,NA,NA,NA,NA,NA
"Windham","VT",42851,42635,42222,45850,46128,45842,45871,45871
"Windsor","VT",55224,55204,55062,57744,58350,58142,58178,58178
"Winkler","TX",7605,7778,8010,7750,7373,7306,7422,7422
"Winn Parish","LA",14350,14138,13904,13721,13507,13205,13158,13158
"Winnebago","IA",10573,10539,10354,10662,10664,10617,10639,10639
"Winnebago","IL",284681,283630,282572,284928,283559,282188,281463,281463
"Winnebago","WI",170394,170878,171907,171800,170554,170718,171252,171252
"Winneshiek","IA",20129,20017,19991,20037,19915,19974,20015,20015
"Winona","MN",50718,50735,50484,49640,49750,49478,49658,49658
"Winston","AL",23760,23693,23629,23488,23672,23755,23915,23915
"Winston","MS",18237,18164,17955,17683,17608,17543,17541,17541
"Wirt","WV",5786,5811,5821,5186,5059,5091,5077,5077
"Wise","TX",65848,68284,69984,68943,71888,74895,76077,76077
"Wise","VA",38574,37875,37383,36061,35707,35421,35552,35552
"Wolfe","KY",7248,7199,7157,6556,6491,6400,6420,6420
"Wood","OH",130437,130441,130817,132248,130331,131592,131927,131927
"Wood","TX",44263,45157,45539,45041,46031,46857,47597,47597
"Wood","WI",73038,72954,72999,74197,74085,73993,74225,74225
"Wood","WV",85060,84180,83518,84142,83791,83340,83102,83102
"Woodbury","IA",102132,102515,103107,105904,105816,105671,105886,105886
"Woodford","IL",38670,38527,38459,38395,38210,38128,38030,38030
"Woodford","KY",26385,26491,26734,26902,27090,27062,27146,27146
"Woodruff","AR",6575,6466,6320,6228,6153,6049,6093,6093
"Woods","OK",9069,8893,8793,8598,8613,8587,8660,8660
"Woodson","KS",3130,3184,3138,3091,3076,3109,3113,3113
"Woodward","OK",20531,20312,20211,20406,20216,19990,20160,20160
"Worcester","MA",825749,829054,830622,859708,862132,862927,865328,865328
"Worcester","MD",51659,51960,52276,52511,53370,53866,54003,54003
"Worth","GA",20528,20302,20247,20738,20557,20424,20642,20642
"Worth","IA",7455,7413,7381,7435,7380,7319,7334,7334
"Worth","MO",2041,2026,2013,1962,1969,1955,1961,1961
"Wrangell City and Borough","AK",2521,2538,2502,2127,2100,2070,2070,2070
"Wright","IA",12765,12690,12562,12915,12811,12681,12707,12707
